Transaction,Items
64,"['Coke', 'Eggs', 'Butter']"
65,"['Diapers', 'Coke', 'Bread']"
66,"['Coke', 'Juice', 'Butter', 'Eggs', 'Milk']"
67,"['Juice', 'Butter']"
68,"['Juice', 'Coke', 'Beer', 'Milk', 'Butter']"
69,"['Milk', 'Coke', 'Diapers', 'Juice', 'Eggs']"
70,"['Juice', 'Beer', 'Diapers', 'Eggs', 'Bread']"
71,"['Juice', 'Coke', 'Butter']"
72,"['Coke', 'Beer', 'Eggs', 'Bread']"
73,"['Beer', 'Butter', 'Diapers', 'Coke']"
74,"['Diapers', 'Eggs', 'Bread', 'Butter', 'Beer']"
75,"['Milk', 'Eggs', 'Coke', 'Diapers']"
76,"['Juice', 'Milk', 'Eggs']"
77,"['Eggs', 'Diapers']"
78,"['Diapers', 'Bread', 'Juice', 'Coke', 'Milk']"
79,"['Juice', 'Beer', 'Butter', 'Diapers', 'Coke']"
80,"['Coke', 'Juice', 'Butter']"
81,"['Diapers', 'Milk', 'Coke', 'Butter']"
82,"['Beer', 'Juice']"
83,"['Milk', 'Juice', 'Beer']"
84,"['Coke', 'Bread', 'Juice', 'Beer']"
85,"['Milk', 'Eggs', 'Juice', 'Coke']"
86,"['Butter', 'Juice']"
87,"['Milk', 'Juice', 'Eggs', 'Butter', 'Coke']"
88,"['Diapers', 'Milk', 'Coke']"
89,"['Butter', 'Coke', 'Bread', 'Juice']"
90,"['Coke', 'Butter', 'Eggs', 'Beer', 'Bread']"
91,"['Juice', 'Bread', 'Coke', 'Butter']"
92,"['Juice', 'Butter', 'Milk', 'Beer', 'Coke']"
93,"['Bread', 'Diapers', 'Coke', 'Butter', 'Juice']"
94,"['Beer', 'Eggs', 'Coke', 'Milk', 'Bread']"
95,"['Beer', 'Juice', 'Milk', 'Bread']"
96,"['Bread', 'Beer']"
97,"['Diapers', 'Milk', 'Eggs']"
98,"['Beer', 'Coke', 'Eggs']"
99,"['Diapers', 'Beer']"
100,"['Eggs', 'Milk']"
101,"['Bread', 'Coke', 'Milk', 'Diapers', 'Beer']"
102,"['Coke', 'Juice']"
103,"['Bread', 'Eggs', 'Coke', 'Milk', 'Beer']"
104,"['Coke', 'Juice', 'Butter']"
105,"['Coke', 'Beer', 'Bread']"
106,"['Bread', 'Butter', 'Eggs']"
107,"['Diapers', 'Milk', 'Bread']"
108,"['Eggs', 'Coke', 'Diapers', 'Milk', 'Beer']"
109,"['Bread', 'Coke', 'Eggs', 'Beer', 'Juice']"
110,"['Eggs', 'Coke', 'Butter', 'Diapers']"
111,"['Eggs', 'Juice', 'Bread']"
112,"['Beer', 'Milk', 'Butter', 'Diapers']"
113,"['Butter', 'Milk', 'Beer']"
114,"['Juice', 'Milk']"
115,"['Eggs', 'Butter']"
116,"['Coke', 'Diapers', 'Beer', 'Milk', 'Bread']"
117,"['Juice', 'Butter', 'Bread', 'Milk', 'Beer']"
118,"['Beer', 'Eggs', 'Milk', 'Butter', 'Coke']"
119,"['Beer', 'Butter', 'Diapers']"
120,"['Coke', 'Milk', 'Butter', 'Diapers']"
121,"['Eggs', 'Coke', 'Bread', 'Milk', 'Butter']"
122,"['Milk', 'Diapers', 'Beer', 'Eggs']"
123,"['Juice', 'Eggs', 'Coke']"
124,"['Diapers', 'Milk', 'Bread', 'Butter']"
125,"['Juice', 'Bread', 'Milk']"
126,"['Bread', 'Coke', 'Milk', 'Butter', 'Eggs']"
127,"['Bread', 'Juice', 'Diapers', 'Coke', 'Beer']"
128,"['Coke', 'Juice', 'Milk']"
129,"['Beer', 'Milk', 'Coke', 'Eggs', 'Butter']"
130,"['Coke', 'Milk']"
131,"['Milk', 'Eggs']"
132,"['Butter', 'Diapers', 'Beer']"
133,"['Coke', 'Butter', 'Bread', 'Juice', 'Beer']"
134,"['Eggs', 'Juice', 'Diapers', 'Bread', 'Coke']"
135,"['Bread', 'Beer', 'Diapers']"
136,"['Bread', 'Beer', 'Coke', 'Diapers', 'Juice']"
137,"['Butter', 'Bread', 'Juice', 'Beer', 'Diapers']"
138,"['Eggs', 'Butter', 'Beer', 'Coke', 'Milk']"
139,"['Coke', 'Butter']"
140,"['Milk', 'Diapers', 'Butter', 'Beer']"
141,"['Bread', 'Juice', 'Beer']"
142,"['Beer', 'Butter', 'Diapers']"
143,"['Milk', 'Beer', 'Bread']"
144,"['Beer', 'Eggs', 'Juice']"
145,"['Juice', 'Butter', 'Beer', 'Milk']"
146,"['Juice', 'Coke', 'Beer', 'Milk']"
147,"['Juice', 'Milk']"
148,"['Juice', 'Coke', 'Bread']"
149,"['Diapers', 'Bread', 'Coke', 'Butter']"
150,"['Eggs', 'Butter']"
151,"['Beer', 'Coke', 'Eggs', 'Diapers', 'Butter']"
152,"['Milk', 'Eggs', 'Juice']"
153,"['Beer', 'Milk', 'Diapers']"
154,"['Eggs', 'Diapers', 'Milk', 'Juice', 'Coke']"
155,"['Milk', 'Butter', 'Beer']"
156,"['Diapers', 'Butter', 'Bread']"
157,"['Butter', 'Juice', 'Bread', 'Diapers', 'Milk']"
158,"['Coke', 'Beer', 'Bread']"
159,"['Bread', 'Butter']"
160,"['Milk', 'Beer', 'Diapers', 'Eggs']"
161,"['Butter', 'Coke', 'Eggs']"
162,"['Beer', 'Juice', 'Bread', 'Coke', 'Eggs']"
163,"['Bread', 'Coke', 'Juice', 'Diapers', 'Eggs']"
164,"['Beer', 'Bread']"
165,"['Butter', 'Juice', 'Coke']"
166,"['Bread', 'Diapers']"
167,"['Coke', 'Beer']"
168,"['Coke', 'Diapers', 'Beer', 'Milk', 'Bread']"
169,"['Milk', 'Diapers']"
170,"['Milk', 'Butter', 'Bread', 'Coke']"
171,"['Diapers', 'Juice', 'Eggs', 'Butter', 'Milk']"
172,"['Juice', 'Diapers', 'Butter']"
173,"['Juice', 'Diapers', 'Milk']"
174,"['Beer', 'Bread', 'Juice', 'Eggs', 'Butter']"
175,"['Bread', 'Eggs', 'Coke', 'Diapers', 'Beer']"
176,"['Butter', 'Milk', 'Beer']"
177,"['Bread', 'Butter']"
178,"['Eggs', 'Coke', 'Beer', 'Juice']"
179,"['Diapers', 'Coke', 'Milk', 'Beer', 'Bread']"
180,"['Coke', 'Eggs', 'Bread', 'Diapers']"
181,"['Coke', 'Eggs', 'Butter', 'Bread']"
182,"['Juice', 'Bread']"
183,"['Milk', 'Beer']"
184,"['Diapers', 'Juice', 'Beer']"
185,"['Butter', 'Coke', 'Beer', 'Milk', 'Diapers']"
186,"['Eggs', 'Milk']"
187,"['Beer', 'Milk', 'Butter', 'Diapers', 'Bread']"
188,"['Bread', 'Milk']"
189,"['Coke', 'Eggs', 'Bread', 'Milk', 'Beer']"
190,"['Butter', 'Milk', 'Bread']"
191,"['Milk', 'Eggs']"
192,"['Butter', 'Eggs', 'Coke']"
193,"['Eggs', 'Milk', 'Juice', 'Butter']"
194,"['Butter', 'Juice', 'Eggs', 'Diapers', 'Coke']"
195,"['Eggs', 'Juice', 'Coke']"
196,"['Butter', 'Coke', 'Bread', 'Milk']"
197,"['Butter', 'Diapers', 'Eggs', 'Coke']"
198,"['Milk', 'Eggs', 'Juice', 'Coke']"
199,"['Eggs', 'Beer']"
200,"['Beer', 'Eggs']"
201,"['Juice', 'Bread']"
202,"['Butter', 'Juice', 'Diapers', 'Coke']"
203,"['Milk', 'Diapers']"
204,"['Diapers', 'Eggs']"
205,"['Diapers', 'Butter', 'Milk', 'Coke', 'Beer']"
206,"['Diapers', 'Beer', 'Eggs', 'Bread', 'Juice']"
207,"['Butter', 'Juice', 'Coke', 'Eggs', 'Bread']"
208,"['Milk', 'Diapers', 'Coke', 'Butter']"
209,"['Milk', 'Diapers']"
210,"['Milk', 'Juice']"
211,"['Bread', 'Milk', 'Juice']"
212,"['Diapers', 'Coke', 'Beer', 'Butter']"
213,"['Milk', 'Bread', 'Coke', 'Eggs', 'Beer']"
214,"['Butter', 'Eggs', 'Bread']"
215,"['Diapers', 'Butter', 'Coke', 'Beer', 'Milk']"
216,"['Coke', 'Juice', 'Bread']"
217,"['Eggs', 'Coke', 'Diapers']"
218,"['Juice', 'Milk', 'Beer', 'Coke']"
219,"['Beer', 'Coke', 'Bread']"
220,"['Diapers', 'Beer', 'Butter', 'Juice']"
221,"['Milk', 'Juice', 'Beer', 'Diapers', 'Butter']"
222,"['Juice', 'Diapers', 'Eggs']"
223,"['Butter', 'Milk', 'Beer', 'Coke']"
224,"['Coke', 'Bread', 'Butter']"
225,"['Bread', 'Milk']"
226,"['Butter', 'Diapers']"
227,"['Bread', 'Butter', 'Juice', 'Eggs', 'Beer']"
228,"['Milk', 'Eggs', 'Coke']"
229,"['Coke', 'Milk']"
230,"['Diapers', 'Coke', 'Juice', 'Milk']"
231,"['Juice', 'Diapers', 'Coke', 'Eggs']"
232,"['Juice', 'Bread']"
233,"['Butter', 'Bread', 'Juice', 'Eggs', 'Diapers']"
234,"['Milk', 'Coke', 'Butter', 'Juice', 'Beer']"
235,"['Eggs', 'Milk', 'Juice', 'Bread', 'Diapers']"
236,"['Diapers', 'Milk']"
237,"['Milk', 'Diapers', 'Juice']"
238,"['Butter', 'Coke', 'Diapers', 'Bread']"
239,"['Coke', 'Butter']"
240,"['Bread', 'Milk']"
241,"['Milk', 'Butter', 'Juice']"
242,"['Butter', 'Juice', 'Eggs', 'Bread']"
243,"['Bread', 'Butter', 'Juice']"
244,"['Eggs', 'Butter']"
245,"['Milk', 'Eggs', 'Bread', 'Coke', 'Butter']"
246,"['Bread', 'Beer', 'Juice', 'Butter']"
247,"['Butter', 'Bread']"
248,"['Eggs', 'Bread']"
249,"['Milk', 'Coke']"
250,"['Bread', 'Milk', 'Beer', 'Juice']"
251,"['Milk', 'Diapers', 'Butter']"
252,"['Beer', 'Juice', 'Butter', 'Bread', 'Eggs']"
253,"['Beer', 'Butter', 'Juice', 'Bread']"
254,"['Butter', 'Diapers']"
255,"['Diapers', 'Coke', 'Juice', 'Milk', 'Beer']"
256,"['Coke', 'Milk', 'Beer', 'Eggs', 'Butter']"
257,"['Beer', 'Juice', 'Butter', 'Diapers', 'Eggs']"
258,"['Butter', 'Beer', 'Coke', 'Eggs', 'Diapers']"
259,"['Coke', 'Diapers', 'Bread', 'Juice', 'Beer']"
260,"['Beer', 'Bread', 'Butter']"
261,"['Milk', 'Bread']"
262,"['Coke', 'Bread', 'Beer']"
263,"['Eggs', 'Milk', 'Coke']"
264,"['Bread', 'Eggs', 'Juice', 'Milk']"
265,"['Diapers', 'Bread', 'Milk', 'Beer', 'Juice']"
266,"['Eggs', 'Juice', 'Bread', 'Butter']"
267,"['Eggs', 'Bread', 'Coke', 'Butter', 'Beer']"
268,"['Beer', 'Diapers', 'Eggs', 'Milk', 'Juice']"
269,"['Beer', 'Diapers', 'Milk', 'Bread', 'Juice']"
270,"['Juice', 'Butter']"
271,"['Diapers', 'Butter', 'Beer', 'Bread', 'Juice']"
272,"['Diapers', 'Beer', 'Bread', 'Milk', 'Coke']"
273,"['Butter', 'Milk', 'Juice', 'Eggs']"
274,"['Milk', 'Butter', 'Diapers']"
275,"['Bread', 'Eggs', 'Butter', 'Coke', 'Juice']"
276,"['Coke', 'Milk', 'Bread', 'Diapers', 'Juice']"
277,"['Milk', 'Beer', 'Juice', 'Butter', 'Coke']"
278,"['Beer', 'Diapers', 'Coke', 'Bread', 'Juice']"
279,"['Milk', 'Juice', 'Butter']"
280,"['Beer', 'Juice']"
281,"['Beer', 'Coke']"
282,"['Bread', 'Juice']"
283,"['Bread', 'Milk', 'Beer', 'Butter']"
284,"['Coke', 'Butter', 'Bread']"
285,"['Diapers', 'Coke', 'Eggs', 'Bread']"
286,"['Milk', 'Diapers']"
287,"['Butter', 'Bread', 'Eggs', 'Milk']"
288,"['Butter', 'Milk', 'Juice', 'Coke', 'Bread']"
289,"['Coke', 'Beer', 'Juice', 'Diapers']"
290,"['Beer', 'Bread', 'Butter']"
291,"['Juice', 'Butter', 'Eggs', 'Bread', 'Coke']"
292,"['Juice', 'Milk', 'Beer', 'Eggs', 'Bread']"
293,"['Butter', 'Bread', 'Coke']"
294,"['Beer', 'Coke', 'Milk', 'Juice', 'Eggs']"
295,"['Coke', 'Beer', 'Eggs', 'Diapers', 'Juice']"
296,"['Butter', 'Milk', 'Diapers', 'Eggs', 'Bread']"
297,"['Milk', 'Eggs']"
298,"['Beer', 'Bread']"
299,"['Butter', 'Diapers', 'Coke', 'Bread', 'Eggs']"
300,"['Juice', 'Butter', 'Diapers', 'Beer']"
301,"['Juice', 'Beer', 'Coke']"
302,"['Butter', 'Diapers']"
303,"['Coke', 'Butter']"
304,"['Milk', 'Bread', 'Juice', 'Coke', 'Diapers']"
305,"['Eggs', 'Milk', 'Beer']"
306,"['Milk', 'Eggs']"
307,"['Butter', 'Milk', 'Bread']"
308,"['Eggs', 'Beer']"
309,"['Beer', 'Coke']"
310,"['Juice', 'Beer', 'Bread', 'Butter']"
311,"['Eggs', 'Juice', 'Milk', 'Bread']"
312,"['Eggs', 'Butter']"
313,"['Diapers', 'Milk', 'Bread']"
314,"['Juice', 'Bread', 'Beer', 'Butter', 'Coke']"
315,"['Milk', 'Coke', 'Eggs', 'Bread', 'Diapers']"
316,"['Coke', 'Eggs', 'Beer']"
317,"['Butter', 'Diapers']"
318,"['Coke', 'Milk', 'Juice', 'Beer', 'Butter']"
319,"['Beer', 'Juice']"
320,"['Bread', 'Juice', 'Milk']"
321,"['Coke', 'Beer', 'Milk', 'Diapers', 'Butter']"
322,"['Eggs', 'Butter', 'Bread']"
323,"['Butter', 'Beer', 'Milk', 'Coke']"
324,"['Diapers', 'Coke', 'Juice', 'Butter', 'Beer']"
325,"['Diapers', 'Eggs', 'Beer', 'Milk']"
326,"['Juice', 'Coke', 'Bread', 'Butter', 'Diapers']"
327,"['Coke', 'Juice', 'Bread', 'Eggs']"
328,"['Butter', 'Bread', 'Beer', 'Coke']"
329,"['Beer', 'Eggs', 'Milk', 'Bread']"
330,"['Bread', 'Eggs', 'Diapers']"
331,"['Bread', 'Beer', 'Butter']"
332,"['Coke', 'Juice', 'Eggs', 'Milk']"
333,"['Milk', 'Eggs', 'Beer', 'Diapers']"
334,"['Juice', 'Milk', 'Bread']"
335,"['Beer', 'Juice', 'Bread']"
336,"['Diapers', 'Juice', 'Beer']"
337,"['Beer', 'Bread', 'Juice']"
338,"['Bread', 'Beer', 'Coke', 'Eggs']"
339,"['Butter', 'Bread', 'Milk', 'Diapers', 'Coke']"
340,"['Eggs', 'Beer']"
341,"['Beer', 'Bread', 'Coke', 'Diapers']"
342,"['Butter', 'Eggs', 'Diapers', 'Coke', 'Beer']"
343,"['Eggs', 'Butter', 'Bread', 'Diapers', 'Milk']"
344,"['Coke', 'Diapers', 'Milk', 'Juice']"
345,"['Bread', 'Eggs', 'Coke', 'Milk', 'Juice']"
346,"['Eggs', 'Juice']"
347,"['Coke', 'Juice', 'Butter', 'Bread', 'Eggs']"
348,"['Eggs', 'Juice']"
349,"['Bread', 'Coke', 'Eggs']"
350,"['Beer', 'Bread', 'Butter', 'Milk', 'Coke']"
351,"['Diapers', 'Coke', 'Eggs', 'Beer', 'Milk']"
352,"['Diapers', 'Butter', 'Juice']"
353,"['Beer', 'Coke', 'Eggs', 'Milk']"
354,"['Beer', 'Bread']"
355,"['Butter', 'Diapers', 'Eggs', 'Bread', 'Juice']"
356,"['Eggs', 'Beer', 'Juice', 'Bread', 'Milk']"
357,"['Beer', 'Juice']"
358,"['Bread', 'Butter']"
359,"['Eggs', 'Bread', 'Butter', 'Diapers']"
360,"['Diapers', 'Bread', 'Juice', 'Milk']"
361,"['Butter', 'Bread', 'Milk', 'Diapers', 'Eggs']"
362,"['Juice', 'Butter']"
363,"['Juice', 'Diapers', 'Bread']"
364,"['Beer', 'Butter', 'Coke']"
365,"['Butter', 'Beer', 'Bread', 'Coke']"
366,"['Diapers', 'Butter', 'Eggs', 'Juice']"
367,"['Diapers', 'Milk', 'Coke', 'Juice']"
368,"['Beer', 'Milk']"
369,"['Coke', 'Juice', 'Diapers']"
370,"['Diapers', 'Eggs', 'Bread', 'Coke', 'Beer']"
371,"['Butter', 'Diapers']"
372,"['Juice', 'Coke', 'Milk', 'Eggs']"
373,"['Beer', 'Milk', 'Butter']"
374,"['Beer', 'Eggs', 'Bread', 'Juice', 'Butter']"
375,"['Beer', 'Bread']"
376,"['Bread', 'Butter', 'Milk', 'Eggs', 'Coke']"
377,"['Milk', 'Coke', 'Eggs', 'Juice']"
378,"['Beer', 'Bread', 'Diapers', 'Milk']"
379,"['Juice', 'Butter', 'Milk', 'Coke', 'Eggs']"
380,"['Diapers', 'Juice', 'Butter', 'Eggs', 'Coke']"
381,"['Juice', 'Milk', 'Coke', 'Eggs']"
382,"['Diapers', 'Milk', 'Eggs', 'Beer', 'Coke']"
383,"['Diapers', 'Butter', 'Milk', 'Coke']"
384,"['Coke', 'Eggs', 'Milk']"
385,"['Coke', 'Bread']"
386,"['Bread', 'Butter', 'Coke', 'Milk', 'Juice']"
387,"['Bread', 'Milk', 'Diapers']"
388,"['Eggs', 'Coke', 'Diapers']"
389,"['Bread', 'Milk', 'Eggs', 'Coke']"
390,"['Diapers', 'Milk', 'Bread', 'Eggs', 'Juice']"
391,"['Eggs', 'Coke', 'Bread', 'Diapers', 'Juice']"
392,"['Diapers', 'Coke', 'Juice']"
393,"['Eggs', 'Coke', 'Butter', 'Bread', 'Diapers']"
394,"['Diapers', 'Coke', 'Milk', 'Eggs', 'Juice']"
395,"['Bread', 'Diapers', 'Milk', 'Coke', 'Butter']"
396,"['Butter', 'Coke', 'Beer', 'Juice', 'Bread']"
397,"['Juice', 'Milk', 'Coke', 'Beer']"
398,"['Coke', 'Beer', 'Juice', 'Milk']"
399,"['Diapers', 'Beer', 'Bread', 'Eggs']"
400,"['Juice', 'Milk', 'Coke', 'Diapers']"
401,"['Bread', 'Milk', 'Eggs', 'Juice']"
402,"['Butter', 'Bread', 'Juice', 'Coke', 'Eggs']"
403,"['Bread', 'Diapers', 'Milk', 'Beer', 'Juice']"
404,"['Diapers', 'Milk', 'Butter', 'Juice']"
405,"['Butter', 'Milk', 'Coke']"
406,"['Coke', 'Diapers', 'Bread', 'Beer', 'Juice']"
407,"['Bread', 'Beer', 'Diapers']"
408,"['Bread', 'Butter']"
409,"['Beer', 'Coke']"
410,"['Milk', 'Bread', 'Juice', 'Beer', 'Butter']"
411,"['Eggs', 'Diapers', 'Butter', 'Milk', 'Coke']"
412,"['Eggs', 'Butter', 'Diapers']"
413,"['Eggs', 'Milk', 'Butter']"
414,"['Diapers', 'Beer', 'Milk', 'Bread', 'Butter']"
415,"['Diapers', 'Butter']"
416,"['Eggs', 'Diapers']"
417,"['Milk', 'Butter']"
418,"['Milk', 'Butter', 'Beer', 'Diapers', 'Coke']"
419,"['Bread', 'Beer']"
420,"['Butter', 'Milk', 'Coke', 'Beer', 'Juice']"
421,"['Coke', 'Bread', 'Beer', 'Butter']"
422,"['Beer', 'Diapers']"
423,"['Butter', 'Bread']"
424,"['Diapers', 'Bread', 'Beer', 'Coke']"
425,"['Eggs', 'Coke', 'Beer', 'Milk', 'Butter']"
426,"['Eggs', 'Coke', 'Bread']"
427,"['Eggs', 'Bread', 'Juice']"
428,"['Bread', 'Eggs', 'Diapers', 'Milk']"
429,"['Beer', 'Bread', 'Eggs', 'Coke', 'Juice']"
430,"['Juice', 'Bread']"
431,"['Juice', 'Bread']"
432,"['Bread', 'Beer', 'Coke']"
433,"['Milk', 'Eggs']"
434,"['Bread', 'Coke']"
435,"['Eggs', 'Juice']"
436,"['Milk', 'Butter', 'Bread']"
437,"['Bread', 'Eggs']"
438,"['Coke', 'Milk']"
439,"['Butter', 'Diapers', 'Milk']"
440,"['Diapers', 'Eggs', 'Juice']"
441,"['Coke', 'Juice', 'Bread', 'Milk', 'Butter']"
442,"['Bread', 'Coke', 'Butter']"
443,"['Beer', 'Eggs', 'Milk', 'Coke', 'Butter']"
444,"['Butter', 'Diapers', 'Beer', 'Juice']"
445,"['Diapers', 'Coke', 'Bread', 'Butter', 'Eggs']"
446,"['Bread', 'Beer', 'Coke', 'Juice', 'Butter']"
447,"['Bread', 'Beer', 'Eggs', 'Diapers', 'Juice']"
448,"['Bread', 'Milk']"
449,"['Juice', 'Eggs']"
450,"['Beer', 'Butter', 'Milk', 'Eggs']"
451,"['Coke', 'Milk']"
452,"['Juice', 'Eggs']"
453,"['Coke', 'Bread', 'Diapers']"
454,"['Bread', 'Eggs', 'Milk', 'Beer', 'Butter']"
455,"['Bread', 'Beer', 'Butter', 'Milk']"
456,"['Butter', 'Diapers']"
457,"['Coke', 'Beer', 'Diapers', 'Bread', 'Juice']"
458,"['Butter', 'Diapers', 'Milk']"
459,"['Milk', 'Butter', 'Diapers']"
460,"['Bread', 'Juice']"
461,"['Diapers', 'Coke', 'Eggs', 'Bread', 'Beer']"
462,"['Coke', 'Bread', 'Beer', 'Butter', 'Juice']"
463,"['Eggs', 'Coke', 'Bread']"
464,"['Milk', 'Butter', 'Diapers', 'Beer']"
465,"['Diapers', 'Eggs', 'Milk', 'Bread', 'Coke']"
466,"['Milk', 'Butter', 'Diapers', 'Eggs']"
467,"['Bread', 'Diapers', 'Juice', 'Beer', 'Butter']"
468,"['Diapers', 'Butter', 'Milk', 'Coke', 'Beer']"
469,"['Coke', 'Milk', 'Butter']"
470,"['Milk', 'Beer']"
471,"['Bread', 'Eggs']"
472,"['Juice', 'Coke', 'Beer']"
473,"['Coke', 'Bread', 'Eggs', 'Diapers', 'Butter']"
474,"['Eggs', 'Diapers', 'Coke', 'Beer']"
475,"['Milk', 'Eggs']"
476,"['Diapers', 'Beer']"
477,"['Diapers', 'Juice', 'Eggs', 'Bread']"
478,"['Butter', 'Juice', 'Eggs']"
479,"['Eggs', 'Milk', 'Bread', 'Diapers']"
480,"['Coke', 'Butter', 'Eggs', 'Milk']"
481,"['Butter', 'Eggs', 'Beer', 'Milk']"
482,"['Beer', 'Coke']"
483,"['Juice', 'Diapers', 'Eggs', 'Milk', 'Beer']"
484,"['Juice', 'Eggs', 'Milk', 'Bread', 'Diapers']"
485,"['Beer', 'Eggs', 'Coke', 'Milk', 'Juice']"
486,"['Coke', 'Milk']"
487,"['Eggs', 'Butter', 'Bread']"
488,"['Diapers', 'Coke']"
489,"['Butter', 'Milk', 'Bread', 'Beer']"
490,"['Juice', 'Bread', 'Butter', 'Eggs']"
491,"['Bread', 'Coke', 'Butter']"
492,"['Beer', 'Juice', 'Bread']"
493,"['Coke', 'Diapers', 'Eggs']"
494,"['Juice', 'Beer', 'Bread', 'Diapers']"
495,"['Bread', 'Eggs']"
496,"['Bread', 'Beer', 'Eggs']"
497,"['Beer', 'Coke', 'Diapers', 'Eggs']"
498,"['Diapers', 'Juice', 'Butter', 'Bread']"
499,"['Bread', 'Butter']"
500,"['Bread', 'Eggs']"
501,"['Beer', 'Butter', 'Milk', 'Juice']"
502,"['Juice', 'Coke', 'Beer', 'Milk']"
503,"['Juice', 'Milk']"
504,"['Diapers', 'Bread']"
505,"['Bread', 'Milk', 'Diapers']"
506,"['Juice', 'Beer', 'Bread']"
507,"['Diapers', 'Coke', 'Eggs']"
508,"['Butter', 'Eggs', 'Juice', 'Beer']"
509,"['Eggs', 'Coke', 'Juice', 'Bread']"
510,"['Juice', 'Coke']"
511,"['Juice', 'Diapers', 'Bread', 'Coke', 'Beer']"
512,"['Butter', 'Eggs', 'Bread', 'Juice']"
513,"['Juice', 'Bread', 'Milk', 'Diapers']"
514,"['Beer', 'Butter', 'Juice']"
515,"['Butter', 'Diapers']"
516,"['Coke', 'Eggs']"
517,"['Diapers', 'Eggs', 'Milk', 'Beer', 'Bread']"
518,"['Beer', 'Milk', 'Coke', 'Butter', 'Eggs']"
519,"['Juice', 'Bread', 'Milk', 'Butter']"
520,"['Milk', 'Eggs', 'Bread', 'Beer', 'Coke']"
521,"['Diapers', 'Beer']"
522,"['Coke', 'Bread', 'Beer', 'Diapers', 'Butter']"
523,"['Juice', 'Coke', 'Eggs']"
524,"['Bread', 'Beer']"
525,"['Juice', 'Butter', 'Coke', 'Beer', 'Milk']"
526,"['Bread', 'Beer']"
527,"['Coke', 'Butter', 'Eggs']"
528,"['Beer', 'Juice', 'Diapers']"
529,"['Eggs', 'Bread', 'Coke', 'Juice', 'Diapers']"
530,"['Beer', 'Diapers']"
531,"['Eggs', 'Beer']"
532,"['Butter', 'Eggs']"
533,"['Milk', 'Diapers', 'Eggs', 'Coke']"
534,"['Coke', 'Juice', 'Diapers']"
535,"['Eggs', 'Milk', 'Juice', 'Bread']"
