Student,Courses
150,"['Data Science', 'Machine Learning', 'Python Basics', 'Statistics']"
151,"['Big Data', 'Python Basics']"
152,"['Deep Learning', 'Neural Networks', 'Big Data']"
153,"['SQL', 'Python Basics']"
154,"['Statistics', 'Big Data', 'SQL', 'Python Basics']"
155,"['Statistics', 'Big Data']"
156,"['AI', 'Web Development', 'Deep Learning', 'Statistics']"
157,"['AI', 'Python Basics', 'Big Data']"
158,"['SQL', 'Deep Learning']"
159,"['Data Science', 'SQL']"
160,"['SQL', 'Big Data']"
161,"['Neural Networks', 'Data Science', 'AI', 'SQL']"
162,"['Web Development', 'Deep Learning', 'Neural Networks', 'Statistics']"
163,"['Deep Learning', 'Statistics', 'AI', 'Neural Networks']"
164,"['Web Development', 'Machine Learning', 'SQL', 'Python Basics']"
165,"['Web Development', 'SQL', 'Machine Learning', 'Deep Learning']"
166,"['Neural Networks', 'Python Basics', 'Statistics', 'Machine Learning']"
167,"['Machine Learning', 'Web Development', 'Statistics']"
168,"['Deep Learning', 'Big Data', 'Neural Networks', 'Data Science']"
169,"['Deep Learning', 'Machine Learning']"
170,"['Data Science', 'Neural Networks', 'Python Basics', 'Machine Learning']"
171,"['Statistics', 'Big Data', 'Data Science']"
172,"['Python Basics', 'Web Development', 'Statistics']"
173,"['Statistics', 'Deep Learning', 'SQL', 'Data Science']"
174,"['AI', 'Python Basics', 'Machine Learning', 'Deep Learning']"
175,"['Statistics', 'Deep Learning', 'SQL', 'AI']"
176,"['Data Science', 'Machine Learning', 'Web Development']"
177,"['Statistics', 'SQL', 'Deep Learning', 'Big Data']"
178,"['Machine Learning', 'AI']"
179,"['Data Science', 'Python Basics', 'Neural Networks']"
180,"['Machine Learning', 'AI', 'SQL']"
181,"['SQL', 'Neural Networks', 'Python Basics']"
182,"['AI', 'Neural Networks', 'Machine Learning']"
183,"['Deep Learning', 'Web Development', 'Data Science']"
184,"['Data Science', 'Statistics']"
185,"['AI', 'Big Data', 'SQL']"
186,"['Machine Learning', 'Data Science']"
187,"['Data Science', 'Web Development', 'Python Basics', 'AI']"
188,"['Machine Learning', 'AI', 'Data Science', 'Neural Networks']"
189,"['SQL', 'Machine Learning']"
190,"['Machine Learning', 'Web Development', 'Data Science', 'Neural Networks']"
191,"['Statistics', 'Python Basics', 'AI']"
192,"['Machine Learning', 'Data Science', 'Deep Learning', 'Python Basics']"
193,"['Python Basics', 'Data Science', 'Big Data', 'Web Development']"
194,"['Python Basics', 'Big Data', 'SQL']"
195,"['Data Science', 'Neural Networks']"
196,"['Big Data', 'SQL', 'Data Science', 'Machine Learning']"
197,"['Web Development', 'Neural Networks', 'Big Data']"
198,"['Data Science', 'Deep Learning', 'Python Basics', 'SQL']"
199,"['Deep Learning', 'Statistics', 'Machine Learning', 'Web Development']"
200,"['Deep Learning', 'AI', 'Data Science']"
201,"['Machine Learning', 'Statistics']"
202,"['Python Basics', 'Data Science', 'Deep Learning']"
203,"['Big Data', 'Deep Learning', 'AI']"
204,"['Neural Networks', 'Web Development']"
205,"['Python Basics', 'Data Science', 'Big Data', 'Web Development']"
206,"['Data Science', 'AI', 'Big Data', 'Machine Learning']"
207,"['Data Science', 'SQL']"
208,"['Neural Networks', 'Big Data']"
209,"['Statistics', 'AI', 'Web Development']"
210,"['Neural Networks', 'Statistics', 'Deep Learning']"
211,"['Deep Learning', 'AI', 'Big Data', 'Python Basics']"
212,"['Web Development', 'Deep Learning']"
213,"['AI', 'SQL', 'Web Development']"
214,"['Machine Learning', 'Data Science', 'Neural Networks']"
215,"['AI', 'Data Science', 'Deep Learning', 'Python Basics']"
216,"['Web Development', 'Deep Learning', 'Statistics']"
217,"['SQL', 'Deep Learning', 'Web Development']"
218,"['Neural Networks', 'Statistics', 'Web Development', 'Python Basics']"
219,"['Machine Learning', 'Deep Learning', 'Neural Networks', 'Data Science']"
220,"['AI', 'SQL']"
221,"['SQL', 'Web Development', 'Big Data']"
222,"['Web Development', 'Data Science', 'AI']"
223,"['SQL', 'Neural Networks']"
224,"['Python Basics', 'Deep Learning']"
225,"['Web Development', 'AI', 'SQL']"
226,"['AI', 'Web Development']"
227,"['Web Development', 'SQL', 'Big Data', 'Neural Networks']"
228,"['Data Science', 'Big Data', 'Statistics', 'Python Basics']"
229,"['AI', 'Deep Learning', 'SQL', 'Machine Learning']"
230,"['AI', 'Deep Learning', 'Big Data', 'Data Science']"
231,"['Web Development', 'AI']"
232,"['Big Data', 'Deep Learning', 'SQL']"
233,"['Neural Networks', 'Deep Learning', 'AI']"
234,"['Deep Learning', 'SQL']"
235,"['AI', 'Python Basics', 'SQL', 'Deep Learning']"
236,"['AI', 'Neural Networks']"
237,"['Deep Learning', 'Web Development', 'Data Science', 'SQL']"
238,"['Data Science', 'Web Development', 'AI', 'Big Data']"
239,"['Data Science', 'Python Basics', 'Deep Learning']"
240,"['Web Development', 'Python Basics', 'SQL']"
241,"['Big Data', 'Statistics']"
242,"['Data Science', 'Web Development', 'Statistics', 'Deep Learning']"
243,"['Python Basics', 'Data Science', 'Machine Learning', 'Neural Networks']"
244,"['Web Development', 'Python Basics', 'Neural Networks']"
245,"['Python Basics', 'Web Development']"
246,"['Web Development', 'Deep Learning']"
247,"['Big Data', 'AI']"
248,"['Big Data', 'AI', 'Deep Learning']"
249,"['Statistics', 'Deep Learning']"
250,"['Python Basics', 'AI']"
251,"['Machine Learning', 'Data Science']"
252,"['Data Science', 'AI']"
253,"['AI', 'SQL']"
254,"['Big Data', 'SQL']"
255,"['Machine Learning', 'Web Development']"
256,"['Web Development', 'AI', 'Data Science', 'Statistics']"
257,"['Statistics', 'Deep Learning', 'SQL']"
258,"['Data Science', 'SQL', 'Deep Learning']"
259,"['Big Data', 'Deep Learning']"
260,"['AI', 'Big Data']"
261,"['Deep Learning', 'AI']"
262,"['Machine Learning', 'Neural Networks']"
263,"['SQL', 'Web Development', 'Deep Learning']"
264,"['Data Science', 'Deep Learning']"
265,"['Web Development', 'AI', 'Neural Networks']"
266,"['Neural Networks', 'Deep Learning', 'AI', 'Big Data']"
267,"['Neural Networks', 'Deep Learning']"
268,"['SQL', 'Machine Learning', 'Big Data']"
269,"['AI', 'Deep Learning']"
270,"['Deep Learning', 'Statistics', 'AI', 'Big Data']"
271,"['Statistics', 'Web Development']"
272,"['Python Basics', 'Machine Learning', 'Neural Networks', 'Big Data']"
273,"['Web Development', 'Statistics', 'SQL', 'Deep Learning']"
274,"['Neural Networks', 'Machine Learning']"
275,"['Python Basics', 'SQL', 'Data Science', 'Big Data']"
276,"['SQL', 'AI', 'Data Science']"
277,"['Big Data', 'Statistics']"
278,"['Neural Networks', 'Web Development', 'Statistics', 'Machine Learning']"
279,"['Machine Learning', 'Statistics']"
280,"['Neural Networks', 'Deep Learning', 'Web Development']"
281,"['Neural Networks', 'Deep Learning', 'Statistics']"
282,"['SQL', 'Big Data', 'Deep Learning', 'Data Science']"
283,"['Statistics', 'Machine Learning']"
284,"['Web Development', 'Data Science', 'Statistics']"
285,"['Python Basics', 'Big Data']"
286,"['Deep Learning', 'Python Basics']"
287,"['Neural Networks', 'Python Basics']"
288,"['Data Science', 'SQL']"
289,"['Big Data', 'AI', 'Data Science']"
290,"['Python Basics', 'SQL', 'Statistics', 'Deep Learning']"
291,"['Machine Learning', 'Statistics', 'SQL', 'AI']"
292,"['Web Development', 'Python Basics', 'Neural Networks']"
293,"['Statistics', 'Neural Networks']"
294,"['AI', 'Web Development', 'Deep Learning', 'Neural Networks']"
295,"['SQL', 'Web Development', 'Data Science', 'Neural Networks']"
296,"['Neural Networks', 'Deep Learning', 'Big Data', 'Machine Learning']"
297,"['Deep Learning', 'AI']"
298,"['Machine Learning', 'Statistics']"
299,"['SQL', 'Python Basics', 'Data Science', 'Big Data']"
300,"['Statistics', 'Web Development', 'Deep Learning']"
301,"['AI', 'Statistics', 'Python Basics', 'Deep Learning']"
302,"['Statistics', 'Data Science', 'Big Data']"
303,"['Data Science', 'Neural Networks']"
304,"['Neural Networks', 'Big Data', 'AI', 'Data Science']"
305,"['Big Data', 'Statistics', 'Python Basics', 'Data Science']"
306,"['Big Data', 'Statistics', 'Neural Networks', 'Deep Learning']"
307,"['Big Data', 'AI', 'Web Development']"
308,"['Statistics', 'Neural Networks', 'Web Development', 'Big Data']"
309,"['Deep Learning', 'Big Data', 'Data Science']"
310,"['Web Development', 'Statistics', 'Data Science']"
311,"['Statistics', 'SQL', 'Web Development', 'Big Data']"
312,"['Data Science', 'Big Data']"
313,"['Data Science', 'SQL', 'Neural Networks', 'Web Development']"
314,"['Statistics', 'Deep Learning', 'Data Science', 'Python Basics']"
315,"['SQL', 'Web Development', 'Deep Learning']"
316,"['Web Development', 'Python Basics', 'Big Data']"
317,"['Web Development', 'Statistics', 'Machine Learning', 'SQL']"
318,"['Deep Learning', 'Python Basics', 'Data Science']"
319,"['Data Science', 'Neural Networks', 'Statistics']"
320,"['Statistics', 'Web Development']"
321,"['Web Development', 'Neural Networks']"
322,"['Data Science', 'Deep Learning', 'Machine Learning']"
323,"['Machine Learning', 'Neural Networks']"
324,"['Statistics', 'SQL', 'Neural Networks', 'Big Data']"
325,"['AI', 'Big Data', 'Statistics']"
326,"['Neural Networks', 'AI']"
327,"['Deep Learning', 'Python Basics', 'Web Development', 'Neural Networks']"
328,"['SQL', 'Statistics', 'Deep Learning', 'Machine Learning']"
329,"['Machine Learning', 'Data Science']"
330,"['SQL', 'Web Development', 'Deep Learning', 'AI']"
331,"['Python Basics', 'Web Development']"
332,"['Deep Learning', 'Data Science']"
333,"['Big Data', 'Statistics', 'Web Development', 'SQL']"
334,"['SQL', 'Data Science']"
335,"['Data Science', 'AI', 'Big Data']"
336,"['Machine Learning', 'SQL']"
337,"['Python Basics', 'Neural Networks']"
338,"['Web Development', 'SQL']"
339,"['Machine Learning', 'AI']"
340,"['Data Science', 'Web Development', 'Machine Learning', 'Deep Learning']"
341,"['Machine Learning', 'SQL']"
342,"['Machine Learning', 'Statistics', 'Python Basics', 'Deep Learning']"
343,"['Data Science', 'SQL', 'AI']"
344,"['Big Data', 'Machine Learning', 'Web Development', 'SQL']"
345,"['Python Basics', 'Big Data', 'Web Development', 'Statistics']"
346,"['Neural Networks', 'Big Data']"
347,"['Data Science', 'Deep Learning', 'Big Data']"
348,"['Big Data', 'Statistics']"
349,"['Neural Networks', 'Python Basics']"
350,"['Deep Learning', 'Statistics', 'SQL', 'Data Science']"
351,"['Python Basics', 'Machine Learning', 'Big Data']"
352,"['Deep Learning', 'Web Development', 'SQL']"
353,"['Web Development', 'Deep Learning']"
354,"['Big Data', 'Deep Learning', 'AI', 'Data Science']"
355,"['Data Science', 'Big Data']"
356,"['Big Data', 'Python Basics', 'AI']"
357,"['Deep Learning', 'Big Data', 'Machine Learning']"
358,"['Machine Learning', 'Deep Learning']"
359,"['Big Data', 'Neural Networks']"
360,"['SQL', 'Big Data']"
361,"['Deep Learning', 'AI']"
362,"['Deep Learning', 'Machine Learning', 'SQL']"
363,"['AI', 'Data Science', 'Deep Learning']"
364,"['Machine Learning', 'Python Basics', 'Neural Networks', 'Deep Learning']"
365,"['Neural Networks', 'Data Science', 'Deep Learning']"
366,"['Deep Learning', 'Data Science']"
367,"['SQL', 'Deep Learning']"
368,"['Python Basics', 'SQL']"
369,"['Big Data', 'AI', 'SQL', 'Deep Learning']"
370,"['Big Data', 'SQL', 'Statistics']"
371,"['Statistics', 'Neural Networks', 'SQL', 'Big Data']"
372,"['Data Science', 'Statistics', 'Python Basics', 'Web Development']"
373,"['Machine Learning', 'Big Data', 'Statistics', 'AI']"
374,"['Big Data', 'Machine Learning', 'Neural Networks']"
375,"['Python Basics', 'AI', 'SQL', 'Big Data']"
376,"['AI', 'Data Science', 'Web Development']"
377,"['Big Data', 'SQL', 'AI']"
378,"['Statistics', 'Data Science', 'AI']"
379,"['Machine Learning', 'Data Science', 'Neural Networks']"
380,"['SQL', 'Deep Learning', 'Web Development', 'Python Basics']"
381,"['Deep Learning', 'Python Basics', 'Web Development', 'AI']"
382,"['SQL', 'Statistics', 'Machine Learning']"
383,"['Machine Learning', 'SQL', 'Python Basics']"
384,"['Web Development', 'SQL', 'Neural Networks', 'Python Basics']"
385,"['Machine Learning', 'Deep Learning']"
386,"['AI', 'Web Development']"
387,"['AI', 'Statistics', 'Data Science']"
388,"['Web Development', 'Machine Learning', 'AI']"
389,"['Neural Networks', 'Deep Learning', 'Data Science', 'Python Basics']"
390,"['Machine Learning', 'Neural Networks', 'Python Basics']"
391,"['Python Basics', 'Statistics']"
392,"['Big Data', 'Machine Learning']"
393,"['Web Development', 'Big Data', 'SQL', 'Neural Networks']"
394,"['Web Development', 'Machine Learning']"
395,"['SQL', 'Neural Networks', 'Statistics']"
396,"['Deep Learning', 'Big Data']"
397,"['Machine Learning', 'SQL', 'Web Development']"
398,"['Python Basics', 'Statistics', 'Neural Networks']"
399,"['Data Science', 'SQL']"
400,"['Machine Learning', 'Web Development', 'SQL']"
401,"['Neural Networks', 'Statistics', 'SQL']"
402,"['AI', 'Python Basics', 'Web Development', 'Deep Learning']"
403,"['Deep Learning', 'Web Development', 'Python Basics']"
404,"['Statistics', 'Deep Learning']"
405,"['Python Basics', 'Web Development']"
406,"['Deep Learning', 'Statistics']"
407,"['Statistics', 'AI', 'Big Data', 'Python Basics']"
408,"['Neural Networks', 'Statistics']"
409,"['Big Data', 'Python Basics']"
410,"['Data Science', 'SQL', 'Python Basics']"
411,"['Machine Learning', 'SQL', 'Neural Networks', 'Deep Learning']"
412,"['Statistics', 'AI', 'Deep Learning', 'Data Science']"
413,"['Big Data', 'Data Science', 'Deep Learning', 'Statistics']"
414,"['Python Basics', 'Web Development', 'Data Science', 'Deep Learning']"
415,"['Neural Networks', 'Big Data', 'SQL']"
416,"['Machine Learning', 'AI']"
417,"['Statistics', 'Deep Learning', 'Neural Networks']"
418,"['Machine Learning', 'Web Development']"
419,"['AI', 'Deep Learning', 'Data Science', 'Web Development']"
420,"['Python Basics', 'SQL', 'Neural Networks', 'Data Science']"
421,"['Machine Learning', 'AI', 'SQL', 'Python Basics']"
422,"['Web Development', 'AI', 'Neural Networks', 'Python Basics']"
423,"['Machine Learning', 'Data Science', 'Deep Learning']"
424,"['Statistics', 'Web Development', 'AI', 'Big Data']"
425,"['Python Basics', 'Data Science', 'Statistics']"
426,"['Statistics', 'SQL']"
427,"['AI', 'Statistics', 'Neural Networks', 'Web Development']"
428,"['Python Basics', 'SQL']"
429,"['Python Basics', 'Machine Learning', 'AI']"
430,"['AI', 'Neural Networks', 'Statistics', 'Python Basics']"
431,"['Machine Learning', 'Web Development']"
432,"['AI', 'Statistics', 'Machine Learning']"
433,"['AI', 'SQL', 'Statistics']"
434,"['Machine Learning', 'Neural Networks', 'Python Basics']"
435,"['Big Data', 'Deep Learning', 'SQL', 'Data Science']"
436,"['Neural Networks', 'SQL']"
437,"['Big Data', 'Data Science']"
438,"['Neural Networks', 'Data Science', 'Big Data']"
439,"['Deep Learning', 'Neural Networks', 'AI', 'Big Data']"
440,"['SQL', 'Deep Learning']"
441,"['SQL', 'Big Data', 'Statistics']"
442,"['Big Data', 'Python Basics', 'Neural Networks']"
443,"['SQL', 'Python Basics']"
444,"['Neural Networks', 'Big Data', 'SQL', 'Machine Learning']"
445,"['Neural Networks', 'SQL', 'Python Basics']"
446,"['Web Development', 'Machine Learning']"
447,"['Machine Learning', 'SQL']"
448,"['Deep Learning', 'Neural Networks', 'Big Data', 'SQL']"
449,"['Statistics', 'Big Data']"
450,"['SQL', 'Machine Learning', 'Neural Networks', 'AI']"
451,"['AI', 'Web Development', 'Machine Learning']"
452,"['Statistics', 'Big Data', 'Machine Learning']"
453,"['Big Data', 'Python Basics', 'Deep Learning']"
454,"['Neural Networks', 'Big Data', 'Deep Learning']"
455,"['Python Basics', 'Deep Learning']"
456,"['Data Science', 'Statistics', 'Big Data']"
457,"['Web Development', 'Machine Learning']"
458,"['AI', 'Python Basics', 'SQL', 'Statistics']"
459,"['Python Basics', 'Neural Networks', 'Big Data']"
460,"['AI', 'Data Science', 'SQL', 'Statistics']"
461,"['Deep Learning', 'Neural Networks']"
462,"['Statistics', 'SQL']"
463,"['Python Basics', 'Web Development', 'Data Science']"
464,"['SQL', 'Neural Networks', 'AI', 'Web Development']"
465,"['AI', 'Web Development']"
466,"['Deep Learning', 'Big Data']"
467,"['Python Basics', 'AI', 'Big Data']"
468,"['AI', 'Neural Networks', 'Statistics']"
469,"['Data Science', 'Statistics']"
470,"['Statistics', 'SQL', 'AI']"
471,"['Statistics', 'Data Science', 'Machine Learning']"
472,"['Deep Learning', 'Web Development', 'Neural Networks']"
473,"['Data Science', 'Python Basics', 'Big Data']"
474,"['Big Data', 'Deep Learning', 'Web Development', 'SQL']"
475,"['Neural Networks', 'Deep Learning', 'SQL']"
476,"['Statistics', 'Data Science', 'Machine Learning', 'Web Development']"
477,"['Machine Learning', 'Deep Learning', 'Web Development']"
478,"['Big Data', 'Statistics', 'Python Basics', 'Neural Networks']"
479,"['Deep Learning', 'Statistics', 'Data Science']"
480,"['AI', 'Python Basics', 'SQL']"
481,"['Machine Learning', 'Statistics']"
482,"['SQL', 'Web Development']"
483,"['AI', 'Neural Networks']"
484,"['Web Development', 'SQL', 'Python Basics']"
485,"['Web Development', 'Data Science', 'Deep Learning', 'Neural Networks']"
486,"['Deep Learning', 'Web Development', 'Big Data']"
487,"['Neural Networks', 'SQL', 'Deep Learning', 'Big Data']"
488,"['AI', 'Neural Networks', 'Big Data', 'Web Development']"
489,"['Deep Learning', 'AI', 'Big Data']"
490,"['SQL', 'Python Basics', 'Statistics']"
491,"['Deep Learning', 'SQL', 'Statistics', 'Data Science']"
492,"['Data Science', 'Neural Networks', 'AI', 'Machine Learning']"
493,"['Statistics', 'AI', 'Machine Learning', 'Big Data']"
494,"['SQL', 'Big Data', 'AI']"
495,"['Statistics', 'Web Development', 'Neural Networks', 'Big Data']"
496,"['Neural Networks', 'Deep Learning']"
497,"['AI', 'Web Development', 'Statistics']"
498,"['Deep Learning', 'Data Science', 'Statistics']"
499,"['Data Science', 'SQL', 'Web Development', 'Deep Learning']"
500,"['Statistics', 'SQL', 'Machine Learning']"
501,"['SQL', 'Machine Learning']"
502,"['Statistics', 'Data Science', 'Deep Learning']"
503,"['AI', 'Web Development']"
504,"['Statistics', 'Python Basics', 'Machine Learning']"
505,"['SQL', 'Data Science']"
506,"['Big Data', 'Web Development', 'SQL', 'Machine Learning']"
507,"['Big Data', 'Neural Networks', 'SQL', 'Statistics']"
508,"['Big Data', 'Machine Learning']"
509,"['SQL', 'AI', 'Python Basics', 'Neural Networks']"
510,"['SQL', 'Python Basics']"
511,"['Big Data', 'Data Science']"
512,"['SQL', 'Statistics']"
513,"['SQL', 'Neural Networks']"
514,"['Big Data', 'Deep Learning', 'SQL', 'Data Science']"
515,"['SQL', 'Big Data', 'Deep Learning', 'AI']"
516,"['Big Data', 'Web Development']"
517,"['Neural Networks', 'SQL']"
518,"['AI', 'Deep Learning', 'Machine Learning', 'Python Basics']"
519,"['Python Basics', 'Deep Learning', 'SQL', 'Neural Networks']"
520,"['Data Science', 'SQL']"
521,"['Data Science', 'Statistics']"
522,"['Python Basics', 'Data Science', 'SQL']"
523,"['Statistics', 'Python Basics', 'Machine Learning']"
524,"['Big Data', 'Statistics', 'Machine Learning']"
525,"['SQL', 'Deep Learning', 'Statistics', 'Web Development']"
526,"['Data Science', 'SQL', 'AI']"
527,"['Big Data', 'Deep Learning', 'Python Basics']"
528,"['Data Science', 'Statistics', 'Neural Networks']"
529,"['Deep Learning', 'SQL']"
530,"['Deep Learning', 'Big Data']"
531,"['Python Basics', 'Neural Networks']"
532,"['Web Development', 'AI', 'Statistics', 'Machine Learning']"
533,"['Web Development', 'Neural Networks', 'Statistics']"
534,"['Big Data', 'Deep Learning', 'Python Basics', 'Machine Learning']"
535,"['Data Science', 'AI']"
536,"['SQL', 'Web Development']"
537,"['Deep Learning', 'Web Development']"
538,"['Statistics', 'Big Data']"
